n,N,m,M,Class
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(0, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 0, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 0, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 1, 1, 0, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 0, 1)","(1, 1, 1, 0, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(0, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 0, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 0, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 1, 1, 0, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0, 1, 0)","(1, 1, 1, 0, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(0, 0, 0, 1, 0, 0)",II
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1, 1, 1)","(1, 1, 1, 0, 1, 1)",II
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",II
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0, 1, 1)","(1, 1, 1, 0, 1, 1)",II
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 0, 0, 1, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 0, 0, 1, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 1, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 1, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(1, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 0, 0, 1, 0, 1)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 0, 0, 1, 1, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 1, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 1, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(1, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(0, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 0, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 0, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 1, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 0, 1)","(1, 1, 0, 1, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(0, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 0, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 0, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 1, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0, 1, 0)","(1, 1, 0, 1, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(0, 0, 1, 0, 0, 0)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1, 1, 1)","(1, 1, 0, 1, 1, 1)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0, 1, 1)","(1, 1, 0, 1, 1, 1)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 0, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 0, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 0, 1, 1, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 1, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(1, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 0, 0, 1)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 0, 1, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 0, 1, 1, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 1, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(1, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 0, 1)","(1, 0, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(0, 1, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(1, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(0, 1, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(1, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 1)","(0, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 1, 0)","(0, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 1, 0)","(0, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 1, 0)","(0, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 1, 0)","(0, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 1, 0)","(0, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 0, 0)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 0, 0)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 0, 0)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 0, 0)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 0, 0)","(0, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0)","(0, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1)","(1, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1)","(1, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1)","(1, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1)","(1, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1)","(1, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0)","(1, 0, 0, 0, 0, 1)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0)","(1, 0, 0, 0, 1, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0)","(1, 0, 0, 1, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0)","(1, 0, 1, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0)","(1, 1, 0, 0, 0, 0)",IV
"(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0)","(1, 1, 1, 1, 1, 1)",II
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 0, 1, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 1, 0, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 1, 1, 0, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 1, 1, 1, 0, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 1)","(0, 1, 1, 1, 1, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 0, 0, 0, 0)",II
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 0, 1, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 1, 0, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 1, 1, 0, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 1, 1, 1, 0, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 0)","(0, 1, 1, 1, 1, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 0, 0, 0, 0, 0)",II
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",II
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 0, 0, 0, 0)",II
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 0, 1, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 0, 1, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 0, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 0, 0)","(1, 1, 1, 1, 1, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 0, 1)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 0, 1, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 0, 1, 0, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 0, 1, 0, 0, 0)",IV
"(0, 1)","(1, 0, 0, 0, 0, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV
